,review_id,user_id,business_id,stars,useful,funny,cool,text,date,pc1,pc2,pc3
0,iBx3lVU5OTch1RKH4SyYuw,uRrvzISsP5NWel2WGoZpoQ,iCfB58Cvb_rw_SDAgPXLfA,5.0,0,0,0,"Best authentic southern BBQ comfort food!!!  It's the real deal ever time!!!  Owner is super friendly, happy, and always welcoming to his customers who delivers a high quality product every time. and his food is absolutely delicious and unbelievably reasonably priced!!  By far the best gem I've even been to.",2016-03-09 18:20:33,0.82721716,1.1571635,0.4016473
1,N7P_O3LMht7T955PCdAYnA,Mv5weP_VVfPxB9-kjJ-yDw,vh6YOciEM3M4zi2FGp-b5Q,4.0,0,0,0,"Headed HERE with my wife for the 4th time, and NORMALLY we have an AMAZING time,enjoying the atmosphere and ambiance of the venues DJ's but last night (12-19-14) THE DJ ""EXPOSURE"", was a drawback, his set WAS ineffectual, and slow, but other than LAST NIGHT'S DJ (I DIDN'T FEEL THE MUSIC), SIAM IS ""STILL"" one of our FAVORITE nightbspots.",2014-12-20 19:02:29,-0.8801343,0.16964597,-0.6971328
2,jiuXD6Q4nQxWar-Ww00atA,6MQCjdqhG8AAg3zhUv0whQ,TCROPjxfzCZzrQjqLqstSg,5.0,2,0,1,"Today my roommate and I stopped by Red Cup Cafe for the first time. It was wonderful and we will be going back soon.

We met the awesome owner ""Rick"" who provided us with excellent service and conversation. The coffee (we got the Zebra special with condensed milk instead of white chocolate) was bangin' and the egg, spinach, goat cheese, bacon sandwich was delicious and filling.",2012-12-07 00:24:03,-0.260478,0.23660192,-0.9322475
3,A6B4C1kTNgnh_iFNHaId2A,5MYa3BbBU359oqcEYwY94w,iwAFHdulOuYTevEfW8DqGQ,4.0,0,0,0,"Visited here for the first time ever today, I really liked it alot! The only reason I gave it 4 stars instead of 5 is because it does not have near as much variety as Whole Foods. They had some awesome deals on meat for a Tuesday, I think they have these type of specials every Tuesday. I will definitely be back!",2014-12-02 16:34:23,0.087208025,0.10441326,0.47870356
4,9WVSw_x5OEt4pmX8NtzJmA,y8otFyN_Rg0Vyk3MeLRPPw,j0kqlcG_HluOEEFsA7WwCg,5.0,0,0,0,"Stopped in here on the way back to DC, after reading the reviews on Yelp. I always look for great places to eat outside of chain food restaurants. I have to say, my tummy was very pleased!!! I'm a big French toast fan and I have to say, they nailed it!! The eggs were scrambled and cooked to perfection. I loved the home fries that were flavored just right. 

The service was excellent! Very friendly and food came out pretty quickly. Prices are very reasonable and the settings of the restaurant are nice as well. I would highly recommend to others looking for a great breakfast spot!",2016-01-18 22:10:43,1.04428,0.1834637,0.1266229
5,x7pvcgSa5ed6dcX16Tca5g,6siYlHmB9b9uA7t0R0iAHQ,tHKobCOXI4SCX9KJ_Ldcww,4.0,1,1,1,"Whaaat?!?!? Something like 30,000 square feet of every halloween costume you could probably imagine. Lots of options and the prices seem pretty fair for the going rate of costumes on the internet and such. Walked by several employees helping customers find the right stuff. I can see parking being a little crazy (we went at a fairly slow time), but it's worth the time spent hunting for a spot.",2016-10-27 21:54:47,-1.5674205,0.24548723,0.66533965
6,Qlh3j1yqwx2KZwZYFyqSjw,wzt1doPT1OrSP9aIVs5lig,7mpYTDb24SywNMRn3yeakQ,1.0,0,0,0,"We made reservations, and were seated upstairs about a foot from the band at a table that seemed more like a bar table. After sitting for 45 min with NO SERVICE, just empty glasses and silverware, we left. While leaving the host kindly insisted to grab the manager after we told her what happened. (The hosts were wonderful!)   The manager did nothing besides essentially say that this wasn't typical and to come back.",2016-01-30 13:06:56,-0.4939978,-0.6899995,-1.8892897
7,pgHUiUnK2URkiace0tyDxQ,arqkmIE4s34Wvh7Df3Z9Ig,ZY8VxKtXDjZB5V4G-hgpaw,1.0,1,0,1,"Just wanted an oil change. That's it. Never in my life have I paid over 70 dollars for an oil change. I can check my fluids. I can put air into my tires. I can clean my own windows and do it better. Why do I have to pay for what you call a courtesy? It's robbery. Then at the end when I said I told you I just wanted an oil change.. the kid says I have to specify as soon as I pull up that I want the VALUE oil change. You have to literally say the word value or they'll charge you for their ""courtesies"". 

Never going back.",2017-03-16 21:09:57,-1.9067811,-1.0083393,0.42203158
8,_TnFjdGqJIoncecML_K2dA,CXldbTNwK0r5buwL2m4Mjw,YX7PIWPInNHNMjjQ3-Boew,3.0,1,1,3,"Clean, friendly staff I never had to wait for services. I would say the pedicure I received was great, however the manicure not so much, a lot of my cuticles were still left there when all was said and done.  Eyebrow tinting was a little shaky too, very uneven!",2017-01-28 10:03:45,-1.9901266,-0.8544124,0.5864737
9,emx6up5VfB6m0TH2vivXiw,KbyvcTdF04OPVwgOeQG3Vg,jOOOrH5n2ijnsZKxzPSAiw,2.0,0,0,0,"It pains me to write this review. I LOVE CFA but the service at this one on December 23, 2016 at 1:36pm was terrible. There was a line for drive thru (which is typical and understood) inside there was a line out the door with 1 person working the register for about a 10 minute period. Not the CFA I have come to love.",2016-12-23 19:42:25,-1.650904,-0.34492505,-0.33552036
